"","Nombre","Nacionalidad","Peso","Altura","Edad","Minutos jugados","Partidos jugados","Partidos como titular","Goles","Autogoles","Tarjetas amarillas","Tarjetas rojas"
"100","Gerson Romario Vázquez Ogara","Mexicano","64 kg","1.74","19 Años, 6 Mes(es), 7 Día(s)","46","3",NA,NA,"0",NA,"0"
"101","Miguel Ángel Sansores Sánchez","Mexicano","74.5 kg","1.78","30 Años, 0 Mes(es), 21 Día(s)","539","15","7","1","0","3",NA
"102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","José de Jesús Corona Rodríguez","Mexicano","84 kg","1.84","40 Años, 3 Mes(es), 24 Día(s)","1350","15","15",NA,"0","1","0"
"110","Andrés Guillermo Gudiño Portillo","Mexicano","86 kg","1.83","24 Años, 3 Mes(es), 23 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"111","Sebastián Jurado Roca","Mexicano","83 kg","1.88","23 Años, 7 Mes(es), 21 Día(s)","180","2","2",NA,"0",NA,"0"
"112","Jaiber Jiménez Ramírez","Mexicano","73 kg","1.73","26 Años, 4 Mes(es), 12 Día(s)","110","2","2",NA,"0","1","0"
"113","Julio César Domínguez Juárez","Mexicano","70 kg","1.77","33 Años, 6 Mes(es), 11 Día(s)","1440","16","16",NA,NA,"1","0"
"114","Alexis Francisco Peña López","Mexicano","84 kg","1.86","25 Años, 4 Mes(es), 6 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"115","Luis Francisco Romo Barrón","Mexicano","84 kg","1.82","25 Años, 11 Mes(es), 14 Día(s)","1071","13","12","2","0","1","0"
"116","José Joaquín Martínez Valadez","Mexicano","70 kg","1.77","34 Años, 2 Mes(es), 28 Día(s)","998","16","10",NA,"0",NA,"0"
"117","Adrián Alexei Aldrete Rodríguez","Mexicano","75 kg","1.77","32 Años, 11 Mes(es), 5 Día(s)","547","10","7","1","0","2","0"
"118","Pablo César Aguilar Benítez","Mexicano","78 kg","1.78","34 Años, 1 Mes(es), 17 Día(s)","951","14","9","1","0","6","0"
"119","Juan Marcelo Escobar Chena","Paraguayo","76 kg","1.77","25 Años, 10 Mes(es), 16 Día(s)","1266","15","15","2","0","4","0"
"120","Elías Hernán Hernández Jacuinde","Mexicano","70 kg","1.71","33 Años, 0 Mes(es), 20 Día(s)","440","15","4","2","0",NA,"0"
"121","Josué Misael Domínguez González","Mexicano","66 kg","1.6","21 Años, 6 Mes(es), 23 Día(s)","75","4",NA,NA,"0",NA,"0"
"122","José Ignacio Rivero Segade","Uruguayo","60 kg","1.66","29 Años, 1 Mes(es), 9 Día(s)","869","13","10",NA,"0","1","0"
"123","Víctor Yoshimar Yotun Flores","Peruano","68 kg","1.73","31 Años, 1 Mes(es), 12 Día(s)","726","17","9",NA,"0","3","0"
"124","Alexis Hazael Gutiérrez Torres","Mexicano","74 kg","1.73","21 Años, 2 Mes(es), 24 Día(s)","4","2",NA,NA,"0",NA,"0"
"125","Rafael Baca Miranda","Mexicano","66 kg","1.73","31 Años, 8 Mes(es), 8 Día(s)","1184","17","15",NA,"0","4","0"
"126","Roberto Carlos Alvarado Hernández","Mexicano","70 kg","1.76","22 Años, 8 Mes(es), 12 Día(s)","1085","16","12","3","0","2","0"
"127","Guillermo Matías Fernández ","Argentino","74 kg","1.8","29 Años, 7 Mes(es), 8 Día(s)","898","13","9","2","0","2","0"
"128","Orbelín Pineda Alvarado","Mexicano","63.3 kg","1.69","25 Años, 1 Mes(es), 26 Día(s)","1122","16","13","2","0",NA,"0"
"129","Walter Ivan Alexis Montoya ","Argentino","74 kg","1.71","27 Años, 9 Mes(es), 29 Día(s)","208","9","2",NA,"0",NA,"0"
"130","Bryan Dennys Angulo Tenorio","Ecuatoriano","75 kg","1.83","25 Años, 5 Mes(es), 19 Día(s)","410","11","3","2","0",NA,"0"
"131","Jonathan Javier Rodríguez Portillo","Uruguayo","79 kg","1.77","27 Años, 10 Mes(es), 13 Día(s)","1250","15","13","9","0","1","0"
"132","Santiago Tomás Giménez ","Mexicano","69 kg","1.82","20 Años, 1 Mes(es), 1 Día(s)","547","12","8",NA,"0","1","0"
"133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Raúl Manolo Gudiño Vega","Mexicano","91.9 kg","1.96","25 Años, 0 Mes(es), 27 Día(s)","990","11","11",NA,"0",NA,"0"
"142","José Antonio Rodríguez Romero","Mexicano","86 kg","1.86","28 Años, 10 Mes(es), 15 Día(s)","540","6","6",NA,"0",NA,"0"
"143","Miguel Jiménez Ponce","Mexicano","81 kg","1.82","31 Años, 2 Mes(es), 5 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"144","Manuel Alejandro Mayorga Almaráz","Mexicano","68.7 kg","1.77","23 Años, 11 Mes(es), 21 Día(s)","666","10","8","2","0","1","0"
"145","Gilberto Sepúlveda López","Mexicano","77.9 kg","1.82","22 Años, 3 Mes(es), 15 Día(s)","1069","14","12",NA,"0",NA,"0"
"146","Antonio Briseño Vázquez","Mexicano","81.1 kg","1.85","27 Años, 3 Mes(es), 14 Día(s)","917","13","9",NA,NA,"3","0"
"147","Miguel Ángel Ponce Briseño","Mexicano","83 kg","1.76","32 Años, 1 Mes(es), 7 Día(s)","859","12","10","2","0","1",NA
"148","Jesús Enrique Sánchez García","Mexicano","67.5 kg","1.68","31 Años, 8 Mes(es), 19 Día(s)","1208","17","15","1","0","3","0"
"149","Hiram Ricardo Mier Alanís","Mexicano","73.7 kg","1.82","31 Años, 8 Mes(es), 25 Día(s)","759","9","9",NA,"0","3","0"
"150","Cristian Yonathan Calderón Del Real","Mexicano","66 kg","1.77","23 Años, 11 Mes(es), 26 Día(s)","319","8","2",NA,"0","1","0"
"151","José Antonio Madueña López","Mexicano","66.7 kg","1.73","30 Años, 11 Mes(es), 21 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"152","Luis Alejandro Olivas Salcedo","Mexicano","93.9 kg","1.84","21 Años, 3 Mes(es), 9 Día(s)","360","4","4",NA,"0","1","0"
"153","Jesús Antonio Molina Granados","Mexicano","77 kg","1.86","33 Años, 1 Mes(es), 21 Día(s)","1131","16","16","3","0","2","0"
"154","Isaác Brizuela Muñóz","Mexicano","65.6 kg","1.71","30 Años, 8 Mes(es), 22 Día(s)","1325","16","14","1","0","1","0"
"155","Carlos Uriel Antuna Romero","Mexicano","61 kg","1.74","23 Años, 8 Mes(es), 29 Día(s)","1273","17","15",NA,"0",NA,"0"
"156","Jesús Ricardo Angulo Uriarte","Mexicano","62.3 kg","1.72","24 Años, 2 Mes(es), 30 Día(s)","1032","17","12","3","0",NA,"0"
"157","Fernando Beltrán Cruz","Mexicano","64 kg","1.63","23 Años, 11 Día(s)","383","15","4",NA,"0",NA,"0"
"158","Alan Eduardo Torres Villanueva","Mexicano","74.1 kg","1.77","21 Años, 3 Mes(es)","926","15","10",NA,"0","3","0"
"159","Sergio Adrián Flores Reyes","Mexicano","81.6 kg","1.84","26 Años, 3 Mes(es), 7 Día(s)","190","10","1",NA,"0",NA,"0"
"160","Carlos Ernesto Cisneros Barajas","Mexicano","71.9 kg","1.75","27 Años, 8 Mes(es), 20 Día(s)","24","2",NA,NA,"0",NA,"0"
"161","César Saúl Huerta Valera","Mexicano","69.7 kg","1.72","20 Años, 5 Mes(es), 16 Día(s)","173","8","1",NA,"0","1","0"
"162","Ernesto Alexis Vega Rojas","Mexicano","77.3 kg","1.73","23 Años, 5 Mes(es), 24 Día(s)","1266","17","14","2","0",NA,"0"
"163","José Juan Macías Guzmán","Mexicano","76 kg","1.78","21 Años, 7 Mes(es), 27 Día(s)","1033","15","12","6",NA,NA,"0"
