"","Nombre","Nacionalidad","Peso","Altura","Edad","Minutos jugados","Partidos jugados","Partidos como titular","Goles","Autogoles","Tarjetas amarillas","Tarjetas rojas"
"420","Alexis Samuel Jaramillo Cervantes","Mexicano","63 kg","1.74","22 Años, 2 Mes(es), 9 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"421","Matías Leonardo Costas ","Argentino","67 kg","1.68","25 Años, 5 Mes(es), 7 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"422","Vanexcel Steve Padilla Ruíz","Mexicano","68 kg","1.81","20 Años, 11 Mes(es), 15 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"423","Armando Chávez Rivas","Mexicano","65 kg","1.7","20 Años, 11 Mes(es), 23 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"424","Wilber Rentería Cuero","Colombiano","73 kg","1.8","29 Años, 3 Mes(es), 13 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"425","Rodolfo Salinas Ortíz","Mexicano","76 kg","1.76","33 Años, 8 Mes(es), 21 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"426","Francisco Tede Pérez","Mexicano","67 kg","1.69","22 Años, 8 Mes(es)",NA,NA,NA,NA,"0",NA,"0"
"427","Brayam Eduardo Nazarit Sabogal","Colombiano","67 kg","1.76","29 Años, 4 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"428","Marco Antonio Montelongo Rosas","Mexicano","69 kg","1.73","22 Años, 8 Mes(es), 19 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"429","Víctor Gael Bocanegra Villanueva","Mexicano","50 kg","1.57","18 Años, 10 Mes(es), 17 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"430","Aldahir De Jesús Flores Alejandré","Mexicano","73 kg","1.71","20 Años, 10 Mes(es), 15 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"431","Jesús Fernando García García","Mexicano","74 kg","1.75","24 Años, 2 Mes(es), 3 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"432","Jesús Alberto Alvarado Morín","Mexicano","91 kg","1.89","32 Años, 7 Mes(es), 15 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"433","Maximiliano Sigales Straneo","Uruguayo","81 kg","1.83","27 Años, 7 Mes(es), 19 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"434","Armando Enrique Arce Salinas","Mexicano","84 kg","1.76","24 Años, 3 Mes(es), 23 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"435","José Irán Chapa Ramos","Mexicano","58 kg","1.62","22 Años, 1 Mes(es), 5 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"436","Luis Gerardo Alvizo Silguero","Mexicano","75 kg","1.77","21 Años, 4 Mes(es), 1 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"437","Eder Omar Cruz Jiménez","Mexicano","68 kg","1.71","32 Años, 3 Mes(es), 30 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"438","Dante Manuel Osorio Villanueva","Mexicano","79 kg","1.76","27 Años, 9 Mes(es), 12 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"439","Kevin Jared Loera Ramos","Mexicano","68 kg","1.77","22 Años, 14 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"440","Claudio Zamudio Godínez","Mexicano","75 kg","1.73","23 Años, 1 Mes(es), 20 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"441",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"448","Sebastián Andrés Fassi Álvarez","Mexicano","78 kg","1.9","28 Años",NA,NA,NA,NA,"0",NA,"0"
"449","Edgar Adolfo Hernández Téllez","Mexicano","76 kg","1.84","38 Años, 8 Mes(es), 23 Día(s)","585","7","6",NA,"0",NA,"0"
"450","Luis Ángel Malagón Velázquez","Mexicano","74 kg","1.82","24 Años, 2 Mes(es), 17 Día(s)","945","11","11",NA,"0",NA,"0"
"451","Idekel Alberto Domínguez Rodríguez","Mexicano","68 kg","1.72","20 Años, 11 Mes(es), 17 Día(s)","1244","15","15",NA,"0","5","0"
"452","Unai Bilbao Arteta","Español","81.7 kg","1.82","27 Años, 3 Mes(es), 15 Día(s)","1518","17","17",NA,"0","1","0"
"453","Jair Pereira Rodríguez","Mexicano","77 kg","1.84","34 Años, 10 Mes(es), 12 Día(s)","376","6","5",NA,"0","1","0"
"454","Carlos Alberto Guzmán Fonseca","Mexicano","72.3 kg","1.76","27 Años","11","1",NA,NA,"0",NA,"0"
"455","Jorge Luis Aguilar Miranda","Paraguayo","77.8 kg","1.82","28 Años, 3 Mes(es), 15 Día(s)","401","6","4",NA,"0","2","0"
"456","Jairo Daniel González Fajardo","Mexicano","74.9 kg","1.69","29 Años, 2 Mes(es), 23 Día(s)","692","8","8",NA,"0","1","0"
"457","Raúl Martín Sandoval Zavala","Mexicano","72 kg","1.73","21 Años, 4 Mes(es), 1 Día(s)","248","8","3",NA,"0","1","0"
"458","Julio Cesar González Trinidad","Paraguayo","70 kg","1.76","28 Años, 10 Mes(es), 21 Día(s)","1246","14","14",NA,"0","6","0"
"459","Mario Humberto de Luna Saucedo","Mexicano","77 kg","1.84","33 Años, 4 Mes(es), 14 Día(s)","854","12","9",NA,"0","1","0"
"460","David Cabrera Pujol","Mexicano","77 kg","1.82","31 Años, 8 Mes(es), 12 Día(s)","1036","14","14",NA,"0","3","0"
"461","Fernando David Arce Juárez","Mexicano","73 kg","1.75","24 Años, 5 Mes(es), 22 Día(s)","396","9","4",NA,"0","1",NA
"462","Bryan Andrés Carvallo Utreras","Chileno","62 kg","1.64","24 Años, 8 Mes(es), 4 Día(s)","100","6",NA,NA,"0",NA,"0"
"463","Kevin Bryan Mercado Mina","Ecuatoriano","76 kg","1.72","26 Años, 3 Mes(es), 22 Día(s)","549","11","5",NA,"0","1","0"
"464","Alejandro Zendejas Saavedra","Mexicano","63 kg","1.65","23 Años, 3 Mes(es), 12 Día(s)","1516","17","17","2","0","1","0"
"465","Francisco Javier Acuña Víctor","Mexicano","56.8 kg","1.67","33 Años, 4 Mes(es)","14","1",NA,NA,"0",NA,"0"
"466","Maximiliano Nahuel Salas ","Argentino","75 kg","1.72","23 Años, 5 Mes(es), 18 Día(s)","851","16","11","2","0","2","0"
"467","Oscar Manuel Millán Garduño","Mexicano","65 kg","1.68","19 Años, 10 Mes(es), 4 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"468","Juan Antonio Delgado Baeza","Chileno","71 kg","1.76","28 Años, 2 Mes(es), 14 Día(s)","984","13","12","2","0","2","0"
"469","Martín  Barragán  Negrete","Mexicano","77 kg","1.82","29 Años, 10 Mes(es), 5 Día(s)","1133","17","12","3","0","2","0"
"470","Diego Abella Calleja","Mexicano","75 kg","1.82","22 Años, 6 Mes(es), 28 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"471","Ian González Nieto","Español","83 kg","1.9","28 Años, 3 Mes(es), 8 Día(s)","907","16","10","3","0","1",NA
"472","Rodrigo Sebastian Aguirre Soto","Uruguayo","80 kg","1.82","26 Años, 7 Mes(es), 18 Día(s)","311","6","3",NA,"0",NA,"0"
"473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"474",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"476",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"478",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"482",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
