"","Peso","Altura","Edad","Minutos jugados","Partidos jugados","Partidos como titular","Goles","Tarjetas amarillas"
"333",0.450931206802952,-0.584943148433983,-0.467430574192493,-0.0753375411846901,0.447379329441801,-0.375494037175556,5.3135187559881e-17,-5.96150884818177e-17
"334",-0.268011930958743,0.503280971558505,-0.467430574192493,-1.60569448222924,-1.65584910348276,1.34187948258439e-16,5.3135187559881e-17,-5.96150884818177e-17
"335",0.163353951698274,-0.274021971293272,-1.37406949923001,0.0134778170009308,0.797917401595896,0.306951474833986,0.865554615971111,-5.96150884818177e-17
"336",1.45745159966932,1.12512332583993,0.212548619585643,-1.30508865452406,0.096841257287707,1.34187948258439e-16,-1.0532652555793,-5.96150884818177e-17
"346",2.82344356141655,2.36880803440277,1.57250700714192,1.41402769608188,1.14845547374999,1.3306197428483,5.3135187559881e-17,-5.96150884818177e-17
"349",0.450931206802952,1.59150509155099,-0.240770842933114,-0.276880084759753,-0.604234887020482,-0.716716793180327,5.3135187559881e-17,-0.993846016669266
"350",1.02608571701231,0.814202148699216,1.34584727588254,0.0305576935750887,-0.253696814866387,-0.0342712811707849,5.3135187559881e-17,-5.96150884818177e-17
"351",1.08360116803324,0.65874156012886,1.11918754462316,-1.03864257996719,-0.954772959174576,-1.39916230518987,5.3135187559881e-17,-5.96150884818177e-17
"352",0.637856422620992,1.43604450298064,-1.14740976797063,-1.37340816082069,-2.00638717563686,1.34187948258439e-16,5.3135187559881e-17,-5.96150884818177e-17
"353",-0.555589186063421,0.0368992058474386,-1.37406949923001,-1.60911045754407,-2.00638717563686,1.34187948258439e-16,5.3135187559881e-17,-5.96150884818177e-17
"354",-1.72027706923737,-1.36224609128576,-0.920750036711251,-0.628725542187405,-0.253696814866387,-1.0579395491851,5.3135187559881e-17,-0.993846016669266
"355",0.177732814453507,2.21334744583241,-0.0141111116737356,-0.717540900373026,-0.954772959174576,-0.716716793180327,5.3135187559881e-17,-5.96150884818177e-17
"356",0.73850846190763,0.969662737269571,0.212548619585643,-0.430598973927174,-0.954772959174576,-0.716716793180327,5.3135187559881e-17,-0.993846016669266
"358",0.709750736397162,0.503280971558505,0.665868082104401,0.146700854279362,0.447379329441801,-0.0342712811707849,5.3135187559881e-17,-0.993846016669266
"359",0.105838500677338,1.12512332583993,0.665868082104401,1.10658991774703,0.797917401595896,0.989396986843529,5.3135187559881e-17,-0.993846016669266
"360",-1.41832095137745,-1.51770667985612,0.665868082104401,0.454138632614204,0.797917401595896,0.306951474833986,-1.0532652555793,-0.993846016669266
"361",-0.555589186063421,1.12512332583993,-0.0141111116737356,-1.50663119809912,-2.00638717563686,1.34187948258439e-16,5.3135187559881e-17,-5.96150884818177e-17
"362",0.307142579250613,-0.118561382722917,0.439208350845022,1.08951004117288,1.14845547374999,0.989396986843529,5.3135187559881e-17,1.64436340939824
"363",0.163353951698274,0.192359794417794,0.89252781336378,1.31496441195176,1.14845547374999,1.3306197428483,5.3135187559881e-17,0.325258696364487
"365",1.02608571701231,-0.584943148433983,0.665868082104401,-0.700461023798868,0.096841257287707,-1.39916230518987,-1.0532652555793,-5.96150884818177e-17
"366",2.4639719925357,1.43604450298064,1.57250700714192,1.06559821396906,0.797917401595896,0.989396986843529,5.66260429484715,0.325258696364487
"367",0.0770807751668714,0.0368992058474386,-0.240770842933114,-0.758532604151005,-0.954772959174576,-0.716716793180327,5.3135187559881e-17,-5.96150884818177e-17
"368",0.249627128229677,-0.118561382722917,0.665868082104401,0.372155225058246,0.797917401595896,0.306951474833986,-1.0532652555793,-0.993846016669266
"369",-1.30329004933558,0.0368992058474386,0.212548619585643,0.238932187779815,0.096841257287707,-0.0342712811707849,-1.0532652555793,-0.993846016669266
"370",0.652235285376227,-0.118561382722917,-0.920750036711251,-1.47588742026564,-0.954772959174576,1.34187948258439e-16,5.3135187559881e-17,-5.96150884818177e-17
"384",1.16987434456465,1.59150509155099,2.25248620092005,1.41402769608188,1.14845547374999,1.3306197428483,5.3135187559881e-17,-5.96150884818177e-17
